"","ID","MonthlyIncome"
"1",871,5564.01249760786
"2",872,2591.8390990605
"3",873,12568.271467667
"4",874,2286.44966294633
"5",875,2564.22525303462
"6",876,6387.72348891696
"7",877,5508.03514056607
"8",878,2041.37736227486
"9",879,2585.67874447876
"10",880,12667.7365765535
"11",881,9680.54381429528
"12",882,2676.70479490212
"13",883,5646.83181446122
"14",884,5440.90013494846
"15",885,5946.103205637
"16",886,5551.23282919512
"17",887,6004.42927996573
"18",888,5713.13592063105
"19",889,5788.76989936233
"20",890,2807.23319264051
"21",891,5881.0156282279
"22",892,8916.25764721313
"23",893,8874.36704341998
"24",894,5403.17085815738
"25",895,9703.0604077792
"26",896,9063.09354835463
"27",897,8827.63950866006
"28",898,15532.2657980509
"29",899,5750.42621661925
"30",900,2693.74292432229
"31",901,2754.98891951031
"32",902,5733.09598524897
"33",903,6210.79118994502
"34",904,2822.31786107183
"35",905,15886.3975660197
"36",906,5288.77720004509
"37",907,9156.77279047533
"38",908,5961.02037698797
"39",909,2501.09070330444
"40",910,2555.26431151438
"41",911,19228.6492688028
"42",912,2534.19910237936
"43",913,2567.45967730923
"44",914,12398.9750439654
"45",915,5813.12392491913
"46",916,5476.04038787394
"47",917,2515.6719981042
"48",918,5699.30342590176
"49",919,2519.74766459999
"50",920,2765.27238608765
"51",921,2629.44338333049
"52",922,2376.2328811312
"53",923,5802.85064445191
"54",924,5806.22550743137
"55",925,16232.0472766966
"56",926,2637.24416042538
"57",927,5901.77762127489
"58",928,12860.1702051846
"59",929,2105.94430986362
"60",930,2409.82904841008
"61",931,5849.57774823744
"62",932,12489.2908206399
"63",933,8938.78452940872
"64",934,2400.35709713385
"65",935,2463.40528355901
"66",936,2264.50714770264
"67",937,9340.38655187727
"68",938,9013.63390381006
"69",939,6282.93319505324
"70",940,2433.84757090019
"71",941,2954.45861999431
"72",942,8987.06017681965
"73",943,9567.20944440669
"74",944,5557.62155285757
"75",945,2367.32659993234
"76",946,5522.95951168569
"77",947,2537.55458533464
"78",948,2439.8452376403
"79",949,2389.73263600857
"80",950,5456.36660091059
"81",951,2758.735124291
"82",952,5750.56954126186
"83",953,5762.32869047229
"84",954,2198.63594488658
"85",955,5625.81234033321
"86",956,8838.11351191105
"87",957,10044.5668123474
"88",958,2455.74659463574
"89",959,9334.26844669917
"90",960,19899.3057372672
"91",961,2698.97584871115
"92",962,5876.26125761361
"93",963,5785.85407372467
"94",964,6042.04774205649
"95",965,2570.37153231993
"96",966,19293.2073492555
